id,host_since,host_total_listings_count,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,price,availability_365,first_review,last_review,license
6369,2009-04-16,1.0,Hispanoamérica,Chamartín,40.457240000000006,-3.67688,Private room,$45.00,107,2010-03-14,2020-07-06,
21853,2010-02-21,2.0,Cármenes,Latina,40.40341,-3.74084,Private room,$31.43,364,2014-10-10,2018-07-15,
23001,2010-02-17,10.0,Legazpi,Arganzuela,40.38695,-3.6930400000000003,Entire home/apt,$60.00,349,,,
24805,2010-03-31,1.0,Universidad,Centro,40.42202,-3.70395,Entire home/apt,$92.00,87,2014-11-29,2020-03-01,
24836,2010-03-31,1.0,Justicia,Centro,40.41995,-3.6976400000000003,Entire home/apt,$115.00,349,2011-06-02,2020-01-26,VT-296
26825,2010-04-27,1.0,Legazpi,Arganzuela,40.38985,-3.69011,Private room,$26.00,365,2010-05-10,2020-03-12,
30320,2010-05-24,3.0,Sol,Centro,40.41552,-3.7034599999999998,Entire home/apt,$65.00,365,2010-07-06,2020-01-04,
30959,2010-05-26,1.0,Embajadores,Centro,40.41111,-3.70269,Entire home/apt,$54.00,0,2015-05-12,2017-05-30,
37859,2010-07-10,1.0,Palacio,Centro,40.4198,-3.71078,Entire home/apt,$140.00,365,,,
40718,2015-05-25,20.0,Justicia,Centro,40.419779999999996,-3.6973,Entire home/apt,$71.00,0,2015-05-06,2019-08-02,
40916,2010-05-24,3.0,Universidad,Centro,40.42096,-3.7042800000000002,Entire home/apt,$90.00,365,2010-11-01,2020-01-05,
59923,2010-11-16,1.0,Palacio,Centro,40.419709999999995,-3.71256,Private room,$40.00,365,2011-09-26,2019-10-05,
62423,2010-11-29,2.0,Justicia,Centro,40.4208,-3.69878,Private room,$26.00,365,2018-05-10,2020-03-04,
64131,2010-12-08,2.0,Peñagrande,Fuencarral - El Pardo,40.48409,-3.7225699999999997,Private room,$21.00,356,2015-01-15,2020-03-31,
70059,2011-01-19,3.0,Universidad,Centro,40.42365,-3.7088900000000002,Entire home/apt,$55.00,0,2018-03-16,2020-08-26,VT-7440
70310,2011-01-19,6.0,Universidad,Centro,40.42252,-3.7025,Entire home/apt,$66.00,364,2011-05-03,2019-12-31,
70316,2011-01-19,6.0,Palacio,Centro,40.42191,-3.7103800000000002,Entire home/apt,$75.00,365,2015-06-28,2020-04-30,
72150,2011-01-27,4.0,Embajadores,Centro,40.4115,-3.7044900000000003,Entire home/apt,$79.00,169,2011-02-13,2020-07-31,VT-6993
72955,2011-02-05,9.0,Cortes,Centro,40.411390000000004,-3.6940800000000005,Entire home/apt,$115.00,198,2014-09-23,2019-11-26,VT382
74352,2011-02-14,1.0,Embajadores,Centro,40.41075,-3.70759,Entire home/apt,$80.00,363,2017-07-15,2019-08-04,
75609,2011-02-20,2.0,Embajadores,Centro,40.40743,-3.69719,Entire home/apt,$64.00,2,2012-04-23,2020-03-04,VT-59
82481,2011-03-18,1.0,Recoletos,Salamanca,40.42315,-3.6827900000000002,Entire home/apt,$63.00,0,2011-05-08,2017-11-29,
84719,2010-10-11,1.0,Embajadores,Centro,40.40865,-3.70534,Entire home/apt,$70.00,77,2011-05-07,2020-03-09,VT2922
86042,2011-01-27,4.0,Embajadores,Centro,40.40939,-3.69812,Entire home/apt,$76.00,180,2011-06-20,2020-03-05,VT-3974
89954,2011-04-05,1.0,Palacio,Centro,40.41218,-3.71369,Entire home/apt,$114.00,365,2011-07-01,2020-03-11,VT 3441
92920,2011-04-09,1.0,Justicia,Centro,40.42422,-3.69538,Private room,$55.00,363,2011-05-31,2019-12-01,
93100,2011-04-11,4.0,Universidad,Centro,40.42378,-3.7024800000000004,Private room,$26.86,362,2011-05-07,2020-03-17,
96807,2011-04-16,7.0,Palomeras Bajas,Puente de Vallecas,40.383179999999996,-3.65565,Private room,$31.00,365,2011-06-08,2019-07-07,
100411,2011-04-22,1.0,Valverde,Fuencarral - El Pardo,40.50116,-3.67119,Entire home/apt,$60.00,0,2016-05-24,2016-06-24,
101507,2013-04-06,5.0,Embajadores,Centro,40.40786,-3.70223,Entire home/apt,$50.00,198,2013-10-09,2020-01-01,VT-3927
102040,2011-04-25,1.0,Pueblo Nuevo,Ciudad Lineal,40.43331,-3.64355,Private room,$19.00,0,,,
102194,2011-04-25,1.0,Justicia,Centro,40.42153,-3.6992300000000005,Entire home/apt,$96.00,14,2011-07-09,2020-03-01,
103522,2011-04-27,1.0,Embajadores,Centro,40.41158,-3.7060699999999995,Entire home/apt,$72.00,365,2016-07-17,2020-03-14,
103541,2011-01-25,6.0,Almagro,Chamberí,40.43761,-3.6980199999999996,Entire home/apt,$75.00,256,2011-07-01,2020-03-01,
114854,2011-01-25,6.0,Rios Rosas,Chamberí,40.43825,-3.6938800000000005,Entire home/apt,$75.00,260,2011-10-03,2020-08-28,
119389,2011-02-05,9.0,Palacio,Centro,40.40958,-3.7104199999999996,Entire home/apt,$117.00,173,2011-10-18,2020-06-08,VT380
120293,2011-05-19,5.0,Palacio,Centro,40.411429999999996,-3.7091199999999995,Private room,$23.00,365,2011-08-21,2020-01-01,
120762,2011-05-20,3.0,Universidad,Centro,40.423809999999996,-3.70571,Private room,$28.00,293,2011-05-26,2020-08-17,
123864,2011-05-19,5.0,Embajadores,Centro,40.41001,-3.70704,Entire home/apt,$50.00,140,2011-07-02,2020-03-08,
127819,2011-05-27,1.0,Cortes,Centro,40.41466,-3.7016199999999997,Entire home/apt,$130.00,361,2012-09-19,2020-08-08,
132428,2011-06-01,1.0,Embajadores,Centro,40.410340000000005,-3.6983599999999996,Private room,$30.00,365,2017-06-05,2020-03-03,
136058,2011-06-05,1.0,Los Angeles,Villaverde,40.35735,-3.69634,Private room,$21.00,0,2011-07-07,2018-12-16,
150123,2011-06-20,23.0,Embajadores,Centro,40.40639,-3.70048,Entire home/apt,$119.00,0,2016-05-10,2020-02-26,VT-
154224,2011-06-24,9.0,Cortes,Centro,40.413920000000005,-3.7004900000000003,Entire home/apt,$69.00,128,2012-10-31,2020-03-09,CH4818
163429,2011-07-05,2.0,Arapiles,Chamberí,40.43628,-3.70526,Entire home/apt,$65.00,250,2011-08-03,2019-03-17,
167183,2011-07-09,1.0,Piovera,Hortaleza,40.45386,-3.6474300000000004,Private room,$45.00,363,2012-07-11,2020-02-07,
169325,2011-07-11,10.0,Puerta del Angel,Latina,40.40915,-3.72416,Private room,$18.00,360,2011-08-17,2020-08-14,
169719,2011-07-11,10.0,Cortes,Centro,40.41515,-3.7000300000000004,Private room,$25.00,365,2011-08-16,2020-02-21,
170750,2011-07-13,3.0,Universidad,Centro,40.42386,-3.7048900000000002,Entire home/apt,$91.00,303,2011-10-28,2018-12-09,
171144,2011-07-13,1.0,Palacio,Centro,40.41607,-3.71101,Entire home/apt,$106.00,355,2011-10-06,2019-12-08,
177500,2011-05-17,32.0,Universidad,Centro,40.427620000000005,-3.7032300000000005,Entire home/apt,$53.00,51,2012-06-11,2019-06-28,VT-4028
