Mes,V Precio m2,V Var %,V Padron,C Precio m2,C Var,C Padron,CL Precio,CL Var,CL Padron,M Precio m2,M Var,CAM Var PIB,CAM PIB M
09/01/2020,11.5,0.011000000000000001,1500,17.8,-0.048,-900,13.6,-0.01,-900,15.9,-0.03,-0.18,15000.0
08/01/2020,11.8,0.045,1537,17.9,-0.032,-948,13.6,0.0,-948,16.1,-0.009000000000000001,-0.20800000000000002,14947.666666666666
07/01/2020,11.7,0.021,1574,18.0,-0.024,-997,13.7,0.011000000000000001,-997,16.3,0.015,-0.236,14895.333333333334
06/01/2020,11.4,0.016,1611,18.7,0.012,-1046,13.9,0.013999999999999999,-1046,16.6,0.03,-0.264,14843.0
05/01/2020,11.3,0.039,1648,19.4,0.05,-1095,14.0,0.023,-1095,16.8,0.043,-0.18366666666666667,16386.666666666668
04/01/2020,11.6,0.062,1686,19.2,0.039,-1144,13.8,0.017,-1144,16.4,0.032,-0.10333333333333332,17930.333333333332
03/01/2020,11.5,0.053,1723,19.2,0.039,-1193,13.8,0.038,-1193,16.3,0.036000000000000004,-0.023,19474.0
02/01/2020,11.2,0.021,1760,19.4,0.048,-1242,13.7,0.027000000000000003,-1242,16.3,0.035,-0.006333333333333331,19816.666666666668
01/01/2020,11.1,0.012,1797,19.0,0.034,-1291,13.5,0.011000000000000001,-1291,16.1,0.044000000000000004,0.010333333333333337,20159.333333333332
12/01/2019,11.3,0.039,1835,18.7,0.023,-1340,13.5,0.018000000000000002,-1340,16.1,0.044000000000000004,0.027000000000000003,20502.0
11/01/2019,11.4,0.051,1783,18.9,0.023,-1397,13.7,0.031,-1397,16.1,0.033,0.027333333333333334,20438.333333333332
10/01/2019,11.4,0.055,1732,18.9,0.018000000000000002,-1455,13.7,0.025,-1455,16.4,0.044000000000000004,0.027666666666666666,20374.666666666668
09/01/2019,11.4,0.045,1681,18.7,0.013000000000000001,-1513,13.7,0.03,-1513,16.4,0.053,0.027999999999999997,20311.0
08/01/2019,11.3,0.028999999999999998,1630,18.5,0.003,-1571,13.6,0.026000000000000002,-1571,16.2,0.040999999999999995,0.028999999999999998,20205.666666666668
07/01/2019,11.4,0.046,1579,18.4,0.006999999999999999,-1628,13.6,0.022000000000000002,-1628,16.0,0.036000000000000004,0.03,20100.333333333332
06/01/2019,11.2,0.048,1528,18.4,0.006999999999999999,-1686,13.7,0.044000000000000004,-1686,16.1,0.042,0.031,19995.0
05/01/2019,10.9,0.05,1477,18.5,-0.003,-1744,13.7,0.03,-1744,16.1,0.051,0.03166666666666666,19899.333333333332
04/01/2019,10.9,0.033,1426,18.5,-0.015,-1802,13.5,0.033,-1802,15.9,0.044000000000000004,0.03233333333333333,19803.666666666668
03/01/2019,10.9,0.035,1375,18.4,-0.006,-1859,13.3,0.044000000000000004,-1859,15.8,0.057999999999999996,0.033,19708.0
02/01/2019,11.0,0.06,1324,18.5,0.009000000000000001,-1917,13.3,0.052000000000000005,-1917,15.7,0.064,0.03333333333333333,19657.333333333332
01/01/2019,11.0,0.085,1273,18.4,0.013999999999999999,-1975,13.3,0.054000000000000006,-1975,15.5,0.055999999999999994,0.033666666666666664,19606.666666666668
12/01/2018,10.9,0.073,1222,18.3,0.026000000000000002,-2033,13.3,0.049,-2033,15.5,0.07200000000000001,0.034,19556.0
11/01/2018,10.8,0.057999999999999996,1262,18.5,0.039,-2094,13.3,0.064,-2094,15.6,0.078,0.034333333333333334,19474.0
10/01/2018,10.8,0.083,1303,18.6,0.061,-2155,13.3,0.10400000000000001,-2155,15.7,0.087,0.034666666666666665,19392.0
09/01/2018,10.9,0.071,1344,18.4,0.054000000000000006,-2217,13.3,0.098,-2217,15.6,0.08199999999999999,0.035,19310.0
08/01/2018,11.0,0.099,1384,18.4,0.062,-2278,13.3,0.106,-2278,15.6,0.09300000000000001,0.035666666666666666,19193.333333333332
07/01/2018,10.9,0.092,1425,18.3,0.047,-2340,13.3,0.10099999999999999,-2340,15.5,0.102,0.036333333333333336,19076.666666666668
06/01/2018,10.7,0.107,1466,18.3,0.059000000000000004,-2401,13.1,0.11599999999999999,-2401,15.4,0.122,0.037000000000000005,18960.0
05/01/2018,10.4,0.084,1506,18.5,0.07200000000000001,-2462,13.3,0.125,-2462,15.3,0.111,0.037333333333333336,18885.333333333332
04/01/2018,10.5,0.10400000000000001,1547,18.7,0.071,-2524,13.1,0.114,-2524,15.2,0.114,0.03766666666666667,18810.666666666668
03/01/2018,10.5,0.09699999999999999,1588,18.6,0.061,-2585,12.8,0.08800000000000001,-2585,14.9,0.086,0.038,18736.0
02/01/2018,10.4,0.059000000000000004,1628,18.3,0.051,-2647,12.7,0.086,-2647,14.8,0.083,0.038,18698.333333333332
01/01/2018,10.1,0.055999999999999994,1669,18.1,0.057,-2708,12.6,0.102,-2708,14.6,0.084,0.038,18660.666666666668
12/01/2017,10.2,0.08199999999999999,1710,17.9,0.07200000000000001,-2770,12.6,0.11599999999999999,-2770,14.4,0.085,0.038,18623.0
11/01/2017,10.2,0.094,1667,17.8,0.092,-2742,12.5,0.12300000000000001,-2742,14.5,0.09699999999999999,0.037333333333333336,18544.333333333332
10/01/2017,10.0,0.08199999999999999,1625,17.5,0.09300000000000001,-2714,12.1,0.09699999999999999,-2714,14.5,0.107,0.03666666666666667,18465.666666666668
