Date,V Precio m2,V Var %,V Padron,C Precio m2,C Var,C Padron,CL Precio,CL Var,CL Padron,M Precio m2,M Var,CAM Var PIB,CAM PIB M,AirBNB_Centro,AirBNB_CiudadL,AirBNB_Vallecas
2020-09-01,11.5,0.011,1500,17.8,-0.048,-900,13.6,-0.01,-900,15.9,-0.03,-0.18,15000,31.0,4.0,0.0
2020-08-01,11.8,0.045,1537,17.9,-0.032,-948,13.6,0.0,-948,16.1,-0.009000000000000001,-0.208,14947,81.0,6.0,1.0
2020-07-01,11.7,0.021,1574,18.0,-0.024,-997,13.7,0.011,-997,16.3,0.015,-0.236,14895,120.0,6.0,0.0
2020-06-01,11.4,0.016,1611,18.7,0.012,-1046,13.9,0.014,-1046,16.6,0.03,-0.264,14843,43.0,1.0,0.0
2020-05-01,11.3,0.039,1648,19.4,0.05,-1095,14.0,0.023,-1095,16.8,0.043,-0.184,16386,12.0,2.0,2.0
2020-04-01,11.6,0.062,1686,19.2,0.039,-1144,13.8,0.017,-1144,16.4,0.032,-0.103,17930,6.0,1.0,0.0
2020-03-01,11.5,0.053,1723,19.2,0.039,-1193,13.8,0.038,-1193,16.3,0.036000000000000004,-0.023,19474,118.0,8.0,2.0
2020-02-01,11.2,0.021,1760,19.4,0.048,-1242,13.7,0.027000000000000003,-1242,16.3,0.035,-0.006,19816,179.0,19.0,1.0
2020-01-01,11.1,0.012,1797,19.0,0.034,-1291,13.5,0.011,-1291,16.1,0.044,0.01,20159,181.0,14.0,3.0
2019-12-01,11.3,0.039,1835,18.7,0.023,-1340,13.5,0.018000000000000002,-1340,16.1,0.044,0.027,20502,197.0,20.0,2.0
2019-11-01,11.4,0.051,1783,18.9,0.023,-1397,13.7,0.031,-1397,16.1,0.033,0.027,20438,167.0,24.0,2.0
2019-10-01,11.4,0.055,1732,18.9,0.018000000000000002,-1455,13.7,0.025,-1455,16.4,0.044,0.028,20374,167.0,15.0,3.0
2019-09-01,11.4,0.045,1681,18.7,0.013,-1513,13.7,0.03,-1513,16.4,0.053,0.028,20311,200.0,21.0,4.0
2019-08-01,11.3,0.029,1630,18.5,0.003,-1571,13.6,0.026,-1571,16.2,0.041,0.029,20205,111.0,13.0,2.0
2019-07-01,11.4,0.046,1579,18.4,0.006999999999999999,-1628,13.6,0.022,-1628,16.0,0.036000000000000004,0.03,20100,157.0,8.0,0.0
2019-06-01,11.2,0.048,1528,18.4,0.006999999999999999,-1686,13.7,0.044,-1686,16.1,0.042,0.031,19995,208.0,23.0,5.0
2019-05-01,10.9,0.05,1477,18.5,-0.003,-1744,13.7,0.03,-1744,16.1,0.051,0.032,19899,155.0,13.0,7.0
2019-04-01,10.9,0.033,1426,18.5,-0.015,-1802,13.5,0.033,-1802,15.9,0.044,0.032,19803,149.0,11.0,2.0
2019-03-01,10.9,0.035,1375,18.4,-0.006,-1859,13.3,0.044,-1859,15.8,0.058,0.033,19708,142.0,10.0,0.0
