Mes;V Precio m2;V Var %;V Padron;C Precio m2;C Var;C Padron;CL Precio;CL Var;CL Padron;M Precio m2;M Var;CAM PIB Tri;CAM Var PIB;CAM PIB M
09/01/2020;11,500;0,011;1500;17,80;-0,048;-900;13,600;-0,010;-375;15,90;-0,030;45000;-18;15000
08/01/2020;11,800;0,045;;17,90;-0,032;;13,600;0,000;;16,10;-0,009;;;
07/01/2020;11,700;0,021;;18,00;-0,024;;13,700;0,011;;16,30;0,015;;;
06/01/2020;11,400;0,016;;18,70;0,012;;13,900;0,014;;16,60;0,030;44529;-26,4;14843
05/01/2020;11,300;0,039;;19,40;0,050;;14,000;0,023;;16,80;0,043;;;
04/01/2020;11,600;0,062;;19,20;0,039;;13,800;0,017;;16,40;0,032;;;
03/01/2020;11,500;0,053;;19,20;0,039;;13,800;0,038;;16,30;0,036;58422;-2,3;19474
02/01/2020;11,200;0,021;;19,40;0,048;;13,700;0,027;;16,30;0,035;;;
01/01/2020;11,100;0,012;;19,00;0,034;;13,500;0,011;;16,10;0,044;;;
12/01/2019;11,300;0,039;1835;18,70;0,023;-1340;13,500;0,018;-478;16,10;0,044;61506;2,7;20502
11/01/2019;11,400;0,051;;18,90;0,023;;13,700;0,031;;16,10;0,033;;;
10/01/2019;11,400;0,055;;18,90;0,018;;13,700;0,025;;16,40;0,044;;;
09/01/2019;11,400;0,045;;18,70;0,013;;13,700;0,030;;16,40;0,053;60934;2,8;20311
08/01/2019;11,300;0,029;;18,50;0,003;;13,600;0,026;;16,20;0,041;;;
07/01/2019;11,400;0,046;;18,40;0,007;;13,600;0,022;;16,00;0,036;;;
06/01/2019;11,200;0,048;;18,40;0,007;;13,700;0,044;;16,10;0,042;59986;3,1;19995
05/01/2019;10,900;0,050;;18,50;-0,003;;13,700;0,030;;16,10;0,051;;;
04/01/2019;10,900;0,033;;18,50;-0,015;;13,500;0,033;;15,90;0,044;;;
03/01/2019;10,900;0,035;;18,40;-0,006;;13,300;0,044;;15,80;0,058;59123;3,3;19708
02/01/2019;11,000;0,060;;18,50;0,009;;13,300;0,052;;15,70;0,064;;;
01/01/2019;11,000;0,085;;18,40;0,014;;13,300;0,054;;15,50;0,056;;;
12/01/2018;10,900;0,073;1222;18,30;0,026;-2033;13,300;0,049;-904;15,50;0,072;58668;3,4;19556
11/01/2018;10,800;0,058;;18,50;0,039;;13,300;0,064;;15,60;0,078;;;
10/01/2018;10,800;0,083;;18,60;0,061;;13,300;0,104;;15,70;0,087;;;
09/01/2018;10,900;0,071;;18,40;0,054;;13,300;0,098;;15,60;0,082;57929;3,5;19310
08/01/2018;11,000;0,099;;18,40;0,062;;13,300;0,106;;15,60;0,093;;;
07/01/2018;10,900;0,092;;18,30;0,047;;13,300;0,101;;15,50;0,102;;;
06/01/2018;10,700;0,107;;18,30;0,059;;13,100;0,116;;15,40;0,122;56880;3,7;18960
05/01/2018;10,400;0,084;;18,50;0,072;;13,300;0,125;;15,30;0,111;;;
04/01/2018;10,500;0,104;;18,70;0,071;;13,100;0,114;;15,20;0,114;;;
03/01/2018;10,500;0,097;;18,60;0,061;;12,800;0,088;;14,90;0,086;56209;3,8;18736
02/01/2018;10,400;0,059;;18,30;0,051;;12,700;0,086;;14,80;0,083;;;
01/01/2018;10,100;0,056;;18,10;0,057;;12,600;0,102;;14,60;0,084;;;
12/01/2017;10,200;0,082;1710;17,90;0,072;-2770;12,600;0,116;-877;14,40;0,085;55870;3,8;18623
11/01/2017;10,200;0,094;;17,80;0,092;;12,500;0,123;;14,50;0,097;;;
10/01/2017;10,000;0,082;;17,50;0,093;;12,100;0,097;;14,50;0,107;;;
09/01/2017;10,200;0,123;;17,50;0,111;;12,100;0,111;;14,40;0,111;55161;3,6;18387
08/01/2017;10,000;0,123;;17,30;0,120;;12,000;0,108;;14,30;0,106;;;
07/01/2017;10,000;0,121;;17,50;0,129;;12,100;0,105;;14,10;0,087;;;
06/01/2017;9,700;0,078;;17,30;0,113;;11,700;0,070;;13,80;0,084;54169;3,4;18056
05/01/2017;9,600;0,043;;17,30;0,099;;11,800;0,075;;13,70;0,078;;;
04/01/2017;9,500;0,051;;17,50;0,129;;11,800;0,079;;13,70;0,099;;;
03/01/2017;9,600;0,051;;17,50;0,140;;11,700;0,090;;13,70;0,105;53940;3;17980
02/01/2017;9,800;0,051;;17,40;0,146;;11,700;0,101;;13,60;0,099;;;
01/01/2017;9,600;0,033;;17,10;0,143;;11,500;0,103;;13,50;0,100;;;
12/01/2016;9,400;0,024;1201;16,70;0,140;-2436;11,300;0,093;-419;13,30;0,090;53417;2,8;17806
11/01/2016;9,400;0,034;;16,30;0,122;;11,100;0,070;;13,20;0,086;;;
10/01/2016;9,200;0,027;;16,00;0,120;;11,000;0,065;;13,10;0,079;;;
09/01/2016;9,100;0,007;;15,70;0,111;;10,900;0,058;;13,00;0,069;52683;3,1;17561
08/01/2016;8,900;-0,009;;15,50;0,105;;10,800;0,047;;12,90;0,081;;;
07/01/2016;8,900;-0,002;;15,50;0,116;;10,900;0,047;;12,90;0,092;;;
06/01/2016;9,000;0,019;;15,50;0,119;;11,000;0,053;;12,70;0,075;52027;3,6;17342
05/01/2016;9,200;0,053;;15,70;0,131;;11,000;0,056;;12,70;0,090;;;
04/01/2016;9,100;0,063;;15,50;0,116;;10,900;0,051;;12,50;0,069;;;
03/01/2016;9,100;0,082;;15,40;0,110;;10,800;0,056;;12,40;0,073;52002;4,1;17334
02/01/2016;9,300;0,106;;15,20;0,102;;10,600;0,045;;12,40;0,070;;;
01/01/2016;9,300;0,103;;15,00;0,083;;10,400;0,037;;12,30;0,076;;;
12/01/2015;9,200;0,081;1153;14,60;0,063;-1637;10,400;0,033;-678;12,20;0,074;52315;4,3;17438
11/01/2015;9,000;0,045;;14,50;0,054;;10,400;0,035;;12,20;0,065;;;
10/01/2015;9,000;0,024;;14,30;0,039;;10,300;0,031;;12,10;0,055;;;
09/01/2015;9,000;0,005;;14,20;0,038;;10,300;0,029;;12,10;0,059;51288;3,9;17096
08/01/2015;9,000;0,015;;14,00;0,035;;10,400;0,035;;11,90;0,058;;;
07/01/2015;8,900;-0,003;;13,90;0,032;;10,400;0,046;;11,80;0,059;;;
06/01/2015;8,800;-0,016;;13,90;0,036;;10,400;0,043;;11,80;0,048;49392;3,4;16464
05/01/2015;8,700;-0,027;;13,90;0,037;;10,400;0,040;;11,70;0,036;;;
04/01/2015;8,500;-0,046;;13,90;0,042;;10,400;0,037;;11,60;0,039;;;
03/01/2015;8,500;-0,056;;13,80;0,038;;10,200;0,018;;11,60;0,031;48776;2,8;16259
02/01/2015;8,400;-0,064;;13,80;0,036;;10,100;0,013;;11,60;0,033;;;
01/01/2015;8,400;-0,047;;13,80;0,044;;10,000;0,003;;11,40;0,024;;;
12/01/2014;8,500;-0,018;820;13,70;0,042;-1922;10,000;0,003;-196;11,40;0,026;48409;2,5;16136
11/01/2014;8,700;-0,002;;13,70;0,031;;10,000;0,003;;11,40;0,022;;;
10/01/2014;8,800;0,011;;13,80;0,031;;10,000;0,002;;11,50;0,025;;;
09/01/2014;9,000;0,022;;13,70;0,024;;10,000;0,001;;11,50;0,012;48408;2,2;16136
08/01/2014;8,900;0,005;;13,50;0,014;;10,000;0,000;;11,30;-0,006;;;
07/01/2014;9,000;0,013;;13,50;0,010;;10,000;-0,002;;11,20;-0,005;;;
06/01/2014;9,000;0,005;;13,40;0,006;;10,000;-0,012;;11,30;0,005;48078;1,7;16026
