;Oferta viviendas;Ciudad de Madrid;Arganzuela;Barajas;Carabanchel;Centro;Chamartín;Chamberí;Ciudad Lineal;Fuencarral - El Pardo;Hortaleza;Latina;Moncloa - Aravaca;Moratalaz;Puente de Vallecas;Retiro;Salamanca;San Blas - Canillejas;Tetuán;Usera;Vicálvaro;Villa de Vallecas;Villaverde
1-Jan-2020;12610;16,1;15,7;11,9;12,0;19,0;16,0;18,0;13,5;12,8;12,2;12,5;14,8;11,2;12,5;16,4;18,7;12,1;15,8;11,9;10,9;11,1;10,7
1-Feb-2020;14235;16,3;16,0;12,0;12,3;19,4;16,2;18,1;13,7;14,8;12,5;12,7;12,8;11,4;12,6;16,0;18,7;12,3;15,9;12,1;10,9;11,2;10,8
1-Mar-2020;14212;16,3;16,0;11,8;12,5;19,2;16,4;18,3;13,8;12,9;12,8;12,5;14,8;12,5;12,5;16,0;16,0;12,3;16,1;12,3;11,1;11,5;10,9
1-Apr-2020;12385;16,4;16,1;11,7;12,5;19,2;16,5;18,3;13,8;12,9;13,0;12,7;14,9;12,4;12,5;16,3;16,1;12,3;16,3;12,4;11,1;11,6;11,1
1-May-2020;13796;16,8;16,4;11,5;12,6;19,4;16,6;18,5;14,0;12,9;13,0;13,0;15,0;12,5;12,5;16,4;16,4;12,1;16,4;12,5;11,1;11,3;11,6
1-Jun-2020;23214;16,6;16,0;11,7;12,7;18,7;16,4;18,1;13,9;16,9;12,7;12,9;15,0;11,8;12,6;16,9;18,9;12,2;16,3;12,5;11,1;12,6;11,5
1-Jul-2020;27760;16,3;15,7;11,9;12,5;18,0;16,4;17,8;13,7;15,7;12,8;12,5;15,1;11,8;12,5;16,3;18,3;12,2;16,1;12,1;10,6;12,1;11,1
1-Aug-2020;28753;16,1;15,5;11,7;12,2;17,9;16,2;17,6;13,6;15,5;12,8;12,3;15,1;11,8;11,9;15,5;18,2;12,1;16,0;11,9;10,6;11,9;10,8
1-Sep-2020;29907;15,9;15,4;11,5;12,1;17,8;16,0;17,3;13,6;15,4;13,6;12,4;15,1;11,5;11,9;15,4;18,1;12,1;16,0;11,9;10,6;11,9;10,8
1-Oct-2020;30773;15,7;15,1;11,6;12,0;17,5;16,0;17,1;13,4;15,1;13,4;12,4;15,1;11,1;11,7;15,1;17,8;12,0;16,0;11,7;10,2;11,7;10,8
