;Centro;Arganzuela;Retiro;Salamanca;Chamartin;Tetuan;Chamberi;Fuencarral;Moncloa;Hortaleza;Villaverde;Villa de Vallecas
 01. Centro;4831;417;105;-149;-14;85;-107;1;-8;3;195;61
 02. Arganzuela;417;3414;-62;-91;-75;41;-80;63;-13;76;249;103
 03. Retiro;105;-62;2560;-174;36;3;-87;97;-4;133;45;127
 04. Salamanca;-149;2560;-174;3690;345;50;19;174;67;98;40;48
 05. Chamartin;-14;-75;36;345;4127;41;-186;298;40;405;21;55
 06. Tetuan;85;41;3;50;41;5794;-329;411;151;254;139;87
 07. Chamberi;-107;-80;-87;19;-186;-329;3376;293;252;105;63;25
 08. Fuencarral;1;63;97;174;298;411;293;7860;-79;440;24;55
 09. Moncloa;-8;-13;-4;67;40;151;252;-79;2610;32;24;50
 16. Hortaleza;3;76;133;98;405;254;105;440;32;5826;-22;47
 17. Villaverde;195;249;45;40;21;139;63;24;24;-22;6117;-16
18. Villa de Vallecas;61;61;103;127;48;55;87;25;55;47;-16;3843
