,tipo,lat,lon,name,address
0,college,40.4265814,-3.664748,Colegio Virgen de La Luz,NO STREET 9999
1,college,40.4218935,-3.6644886,Colegio Stoa Liceo,Calle de Mercedes Fórmica 34
2,college,40.457647,-3.6621188,Instituto Formación Empresarial Cámara de Comercio e Industria,NO STREET 9999
3,school,40.4240493,-3.6621031,Antiguo Colegio Viancor,NO STREET 9999
4,school,40.4702083,-3.6638364,Hof Der Lage Landen (Holandés),NO STREET 9999
5,school,40.4268557,-3.6624008,Tempo Musical,NO STREET 9999
6,school,40.4814467,-3.6642157,Andana Centros de Música,NO STREET 9999
7,school,40.426213,-3.6616653,Arte 4 Estudio de actores,NO STREET 9999
8,shop,40.4403767,-3.6623673,Dia,NO STREET 9999
9,shop,40.4462628,-3.664764,Unide,NO STREET 9999
10,shop,40.4752935,-3.6647201,Super Sol,NO STREET 9999
11,shop,40.4299652,-3.659227,Covirán,NO STREET 9999
12,shop,40.4257351,-3.6639442,Dia,Paseo del Marqués de Zafra 37
13,shop,40.4366066,-3.6621471,Carrefour,NO STREET 9999
14,shop,40.4300225,-3.6639693,NO NAME,NO STREET 9999
15,clinic,40.4424848,-3.6631059,Centro de Salud Baviera,Avenida de Baviera 9
16,clinic,40.454781,-3.658831,Clínica Ginefiv,Calle de José Silva 18
